Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
4/23/18,69,60,50,47,39,30,64,-,33,21,-,0,30.45,-,30.35,-,0,-
4/24/18,63,59,55,54,49,34,86,-,43,24,-,7,30.35,-,29.95,-,0.46,-
4/25/18,67,61,55,58,55,52,93,-,67,16,-,0,29.95,-,29.68,-,0.32,-
4/26/18,73,62,50,50,40,35,69,-,27,20,-,0,29.88,-,29.74,-,0,-
4/27/18,64,59,54,52,51,46,86,-,60,17,-,0,29.83,-,29.74,-,0.72,-
4/28/18,78,65,51,55,48,37,93,-,25,29,-,0,29.95,-,29.7,-,0,-
4/29/18,58,52,45,37,30,27,50,-,38,25,-,5,30.19,-,29.98,-,0,-
4/30/18,73,57,41,33,24,19,65,-,15,24,-,0,30.24,-,30.06,-,0,-
5/1/18,83,66,49,48,36,27,71,-,15,15,-,0,30.2,-,30.1,-,0,-
5/2/18,91,74,56,52,46,35,69,-,15,18,-,4,30.19,-,30.04,-,0,-
5/3/18,90,77,64,59,55,50,63,-,34,21,-,0,30.13,-,29.97,-,0,-
5/4/18,90,80,69,66,61,58,73,-,37,25,-,7,30.02,-,29.85,-,0,-
5/5/18,76,69,62,56,47,40,65,-,34,17,-,0,30.15,-,29.97,-,0,-
5/6/18,73,66,59,56,54,51,78,-,57,17,-,0,30.06,-,29.85,-,0,-
5/7/18,77,68,58,53,52,50,80,-,41,14,-,0,30.17,-,29.96,-,0,-
5/8/18,78,68,58,52,49,45,80,-,33,13,-,4,30.25,-,30.15,-,0,-
5/9/18,80,69,57,53,49,46,80,-,32,14,-,0,30.18,-,30.06,-,0,-
5/10/18,83,72,61,63,59,55,84,-,47,18,-,6,30.04,-,29.81,-,0,-
5/11/18,85,73,61,60,57,53,90,-,37,16,-,0,30.07,-,29.91,-,0,-
5/12/18,90,79,67,70,63,57,81,-,46,26,-,0,30.09,-,29.88,-,0.15,-
5/13/18,73,68,63,65,62,58,93,-,78,17,-,0,30.1,-,30.02,-,0.52,-
5/14/18,81,72,62,70,62,59,93,-,67,29,-,0,30.04,-,29.94,-,1.49,-
5/15/18,89,78,66,71,66,61,90,-,52,33,-,5,30.01,-,29.81,-,0.41,-
5/16/18,75,71,67,70,66,64,93,-,82,13,-,0,30.03,-,29.96,-,0.82,-
5/17/18,69,68,66,65,64,63,93,-,84,14,-,6,30.07,-,29.93,-,0.97,-
5/18/18,69,63,57,65,62,54,93,-,81,23,-,7,30.22,-,30.05,-,1.01,-
5/19/18,72,65,57,68,60,54,93,-,84,16,-,0,30.21,-,30.04,-,0.77,-
5/20/18,89,79,68,69,66,62,90,-,41,16,-,0,30.07,-,29.99,-,0,-
5/21/18,82,75,67,64,61,57,79,-,49,15,-,0,30.21,-,30.07,-,0,-
5/22/18,80,73,65,68,64,58,90,-,73,18,-,0,30.16,-,29.98,-,1.23,-
5/23/18,83,75,66,67,61,56,93,-,42,25,-,0,30.1,-,29.92,-,0,-
5/24/18,87,75,63,61,54,41,87,-,21,14,-,0,30.19,-,30.11,-,0,-
5/25/18,86,75,63,66,63,58,87,-,51,20,-,5,30.14,-,29.9,-,0,-
5/26/18,87,79,71,71,69,66,84,-,57,22,-,5,29.9,-,29.82,-,0.03,-
5/27/18,85,77,68,73,70,67,87,-,63,17,-,4,30.03,-,29.87,-,0,-
5/28/18,72,68,64,66,63,61,93,-,78,15,-,4,30.09,-,30.01,-,0.01,-
5/29/18,83,76,69,71,68,66,97,-,63,12,-,0,30.03,-,29.97,-,0,-
5/30/18,81,76,71,70,69,68,93,-,69,16,-,0,30.07,-,29.99,-,0,-
5/31/18,86,78,70,74,70,66,93,-,65,18,-,4,30.02,-,29.85,-,1.32,-
6/1/18,90,81,71,71,69,66,93,-,50,18,-,0,29.87,-,29.74,-,0,-
6/2/18,86,80,73,72,69,67,87,-,61,14,-,4,29.8,-,29.74,-,0.05,-
6/3/18,75,67,58,70,61,53,93,-,82,26,-,8,29.89,-,29.77,-,1.65,-
6/4/18,80,68,56,61,55,52,86,-,42,18,-,4,29.87,-,29.75,-,0,-
6/5/18,84,73,61,58,53,50,78,-,34,23,-,4,29.84,-,29.7,-,0,-
6/6/18,78,71,63,56,54,52,73,-,43,17,-,4,30.01,-,29.75,-,0,-
6/7/18,79,71,62,63,58,52,81,-,52,13,-,5,30.14,-,30.01,-,0,-
6/8/18,84,75,65,70,65,59,87,-,58,25,-,4,30.19,-,30.1,-,0.96,-
6/9/18,86,78,70,70,68,62,97,-,59,23,-,0,30.12,-,30,-,0.1,-
6/10/18,81,73,65,70,67,62,90,-,67,20,-,0,30.04,-,29.88,-,0,-
6/11/18,67,64,61,62,58,56,90,-,73,18,-,4,30.19,-,29.89,-,0.42,-
6/12/18,79,69,58,62,57,53,86,-,43,18,-,0,30.23,-,30.11,-,0,-
6/13/18,85,77,68,71,67,62,87,-,65,16,-,6,30.1,-,29.85,-,0,-
6/14/18,87,80,73,71,55,45,82,-,25,22,-,0,29.98,-,29.84,-,0,-
6/15/18,85,76,67,56,51,45,61,-,25,18,-,0,30.04,-,29.96,-,0,-
6/16/18,89,77,64,64,58,54,81,-,32,13,-,0,30.09,-,30,-,0,-
6/17/18,89,81,73,70,66,64,79,-,47,12,-,0,30.1,-,30.03,-,0,-
6/18/18,92,83,74,75,71,67,87,-,55,16,-,0,30.07,-,29.88,-,0,-
6/19/18,95,86,77,76,73,68,91,-,49,22,-,0,29.89,-,29.81,-,1.12,-
6/20/18,86,80,73,71,64,57,87,-,44,18,-,0,29.9,-,29.76,-,0.13,-
6/21/18,86,79,72,72,69,66,87,-,61,14,-,0,29.84,-,29.74,-,0,-
6/22/18,77,72,67,69,65,63,93,-,74,16,-,6,29.92,-,29.81,-,0.57,-
6/23/18,81,74,67,72,68,63,97,-,69,13,-,0,29.88,-,29.78,-,0.06,-
6/24/18,91,81,71,72,69,65,93,-,46,15,-,0,29.93,-,29.83,-,0.11,-
6/25/18,85,78,70,69,62,58,93,-,44,20,-,0,30.17,-,29.92,-,0,-
6/26/18,84,75,65,66,58,51,68,-,43,16,-,0,30.22,-,30.14,-,0,-
6/27/18,82,77,71,72,68,59,79,-,66,16,-,0,30.12,-,29.86,-,0.04,-
6/28/18,89,82,75,72,70,66,87,-,50,18,-,4,29.85,-,29.8,-,0,-
6/29/18,93,83,73,0,0,0,79,-,38,12,-,0,0,-,0,-,0,-
6/30/18,91,82,72,0,0,0,87,-,44,15,-,0,0,-,0,-,0,-
