Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
6/17/18,70,66,61,54,53,51,72,-,53,8,-,0,29.99,-,29.87,-,0,-
6/18/18,72,66,60,56,54,52,84,-,53,10,-,0,30.01,-,29.96,-,0,-
6/19/18,75,68,61,58,56,55,84,-,57,8,-,0,29.98,-,29.9,-,0,-
6/20/18,80,70,60,61,59,57,90,-,54,8,-,0,29.94,-,29.87,-,0,-
6/21/18,78,72,65,62,60,59,84,-,60,9,-,0,29.95,-,29.88,-,0,-
6/22/18,78,71,63,63,61,59,87,-,60,9,-,0,29.91,-,29.78,-,0,-
6/23/18,74,69,64,61,59,56,87,-,61,8,-,0,29.87,-,29.79,-,0,-
6/24/18,77,71,64,58,57,57,78,-,54,5,-,0,29.95,-,29.85,-,0,-
6/25/18,79,72,64,60,59,57,87,-,52,9,-,0,29.97,-,29.89,-,0,-
6/26/18,78,71,64,61,59,57,87,-,54,9,-,0,29.99,-,29.9,-,0,-
6/27/18,80,72,63,61,59,58,90,-,51,8,-,0,29.95,-,29.88,-,0,-
6/28/18,79,71,63,60,59,58,90,-,50,9,-,0,29.94,-,29.88,-,0,-
6/29/18,79,73,66,0,0,0,76,-,48,10,-,0,0,-,0,-,0,-
6/30/18,80,73,66,60,60,60,81,-,48,9,-,0,29.96,-,29.96,-,0,-
