Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
5/22/18,68,62,55,58,54,46,100,-,52,9,-,0,30.16,-,29.96,-,0.29,-
5/23/18,81,70,59,63,57,48,97,-,35,9,-,0,30.01,-,29.88,-,0.29,-
5/24/18,83,73,63,53,46,36,67,-,20,12,-,0,30.14,-,30.03,-,0,-
5/25/18,86,76,65,61,53,48,58,-,29,14,-,4,30.08,-,29.83,-,0,-
5/26/18,89,81,72,69,65,63,74,-,43,14,-,0,29.87,-,29.77,-,0,-
5/27/18,80,68,56,67,58,51,100,-,62,16,-,0,30.12,-,29.86,-,0.44,-
5/28/18,69,63,56,59,54,51,86,-,66,9,-,0,30.13,-,30.01,-,0,-
5/29/18,89,76,63,66,63,58,93,-,40,8,-,0,30.04,-,29.94,-,0,-
5/30/18,78,70,61,65,61,56,93,-,61,9,-,0,30.18,-,30.03,-,0,-
5/31/18,68,66,63,66,62,57,100,-,76,8,-,0,30.14,-,29.91,-,0.1,-
6/1/18,81,73,65,70,67,64,100,-,69,7,-,0,29.9,-,29.74,-,0.27,-
6/2/18,87,77,66,70,68,64,97,-,53,14,-,0,29.91,-,29.71,-,0.08,-
6/3/18,66,59,51,64,53,47,96,-,60,14,-,0,30.06,-,29.91,-,0.25,-
6/4/18,71,61,51,57,52,49,100,-,57,12,-,0,29.94,-,29.69,-,0.16,-
6/5/18,75,67,58,57,51,45,93,-,43,15,-,0,29.73,-,29.62,-,0,-
6/6/18,71,65,58,54,50,46,78,-,47,8,-,0,30.03,-,29.73,-,0,-
6/7/18,71,66,60,56,53,51,84,-,49,9,-,0,30.16,-,30.02,-,0,-
6/8/18,82,71,60,63,58,54,84,-,45,9,-,0,30.17,-,30.06,-,0,-
6/9/18,83,75,67,64,55,48,73,-,35,8,-,0,30.14,-,30.05,-,0,-
6/10/18,73,66,58,57,53,48,78,-,44,9,-,0,30.09,-,30.01,-,0.01,-
6/11/18,73,66,58,55,49,42,87,-,42,9,-,0,30.2,-,29.98,-,0,-
6/12/18,75,66,57,53,48,44,72,-,38,10,-,0,30.25,-,30.1,-,0,-
6/13/18,78,71,63,69,64,52,90,-,63,12,-,0,30.09,-,29.73,-,0.04,-
6/14/18,84,76,67,69,53,45,82,-,26,15,-,4,29.89,-,29.74,-,0,-
6/15/18,76,70,63,53,51,47,60,-,46,13,-,0,30,-,29.87,-,0,-
6/16/18,85,75,64,55,50,44,68,-,26,8,-,0,30.06,-,29.97,-,0,-
6/17/18,91,79,66,58,53,47,68,-,23,9,-,0,30.1,-,30.03,-,0,-
6/18/18,91,82,73,74,68,59,94,-,52,14,-,4,30.06,-,29.78,-,0.08,-
6/19/18,88,82,75,74,63,49,94,-,29,12,-,0,29.87,-,29.72,-,0.07,-
6/20/18,83,76,69,67,57,49,79,-,37,8,-,0,29.91,-,29.77,-,0.09,-
6/21/18,83,74,65,70,64,54,100,-,37,8,-,0,29.85,-,29.75,-,0.59,-
6/22/18,75,69,62,64,60,54,87,-,59,10,-,0,30.06,-,29.87,-,0.1,-
6/23/18,65,64,62,62,59,53,93,-,67,13,-,0,30.02,-,29.82,-,0,-
6/24/18,83,75,66,70,66,62,93,-,63,8,-,0,29.87,-,29.75,-,0,-
6/25/18,81,74,67,65,55,44,84,-,31,15,-,0,30.17,-,29.81,-,0,-
6/26/18,78,70,61,61,55,46,78,-,40,9,-,0,30.28,-,30.17,-,0,-
6/27/18,73,69,66,67,60,55,93,-,57,7,-,0,30.16,-,29.91,-,0.01,-
6/28/18,83,77,70,74,71,67,100,-,65,13,-,0,29.89,-,29.73,-,1.36,-
6/29/18,89,80,70,0,0,0,84,-,36,10,-,0,0,-,0,-,0,-
6/30/18,93,83,72,0,0,0,61,-,36,9,-,0,0,-,0,-,0,-
